"time","lambda_p","p_delta"
0,0.37784,0.460376409867867
0.163137062656642,0.383344619892931,0.467873895025441
0.326274125313283,0.388849239785861,0.475371380183015
0.489411187969925,0.394353859678792,0.482868865340589
0.652548250626567,0.399858479571722,0.490366350498163
0.815685313283208,0.400857817376291,0.455739141898356
0.97882237593985,0.401716365115599,0.419795536618631
1.14195943859649,0.402574912854907,0.383851931338906
1.30509650125313,0.403433460594214,0.347908326059181
1.46823356390977,0.396003571065906,0.30760796147325
1.63137062656642,0.388038943649365,0.267026515641756
1.79450768922306,0.380074316232823,0.226445069810263
1.9576447518797,0.372109688816281,0.18586362397877
2.12078181453634,0.359828070596377,0.154419563024416
2.28391887719298,0.347114753296136,0.123889240557775
2.44705593984962,0.334401435995895,0.093358918091135
2.61019300250627,0.321688118695654,0.0628285956244947
2.77333006516291,0.312760092202233,0.0900002731632564
2.93646712781955,0.304354174785616,0.125130847254487
3.09960419047619,0.295948257368998,0.160261421345718
3.26274125313283,0.287542339952381,0.195391995436949
3.42587831578947,0.284061181488476,0.210256220758772
3.58901537844612,0.281459444266127,0.221501455228915
3.75215244110276,0.278857707043778,0.232746689699057
3.9152895037594,0.276255969821429,0.2439919241692
4.07842656641604,0.268311854829739,0.164157989767702
4.24156362907268,0.259180544778196,0.0640842400613945
4.40470069172932,0.250049234726653,-0.0359895096449128
4.56783775438597,0.240917924675109,-0.136063259351221
4.73097481704261,0.22039659712289,-0.32110131829127
4.89411187969925,0.196808726397412,-0.529014383563481
5.05724894235589,0.173220855671934,-0.736927448835692
5.22038600501253,0.149632984946456,-0.944840514107903
5.38352306766917,0.133943486606256,-0.842610181347532
5.54666013032582,0.120781467429345,-0.641133961216736
5.70979719298246,0.107619448252434,-0.43965774108594
5.8729342556391,0.0944574290755236,-0.238181520955144
6.03607131829574,0.0892620128862094,-0.142864159856492
6.19920838095238,0.087054072817244,-0.0873563708948949
6.36234544360902,0.0848461327482786,-0.0318485819332978
6.52548250626567,0.0826381926793132,0.0236592070282993
6.68861956892231,0.0816248777319016,0.0415540711146961
6.85175663157895,0.0811309650112525,0.0430954896031798
7.01489369423559,0.0806370522906034,0.0446369080916635
7.17803075689223,0.0801431395699543,0.0461783265801471
7.34116781954887,0.0797585506573544,0.0490165953544744
7.50430488220552,0.079428623648779,0.0525032892717234
7.66744194486216,0.0790986966402037,0.0559899831889724
7.8305790075188,0.0787687696316283,0.0594766771062215
7.99371607017544,0.0785818067261011,0.0637065747168455
8.15685313283208,0.0784765375937442,0.0683611601522553
8.31999019548872,0.0783712684613873,0.0730157455876651
8.48312725814536,0.0782659993290305,0.0776703310230749
8.64626432080201,0.078269112810675,0.0808934916524814
8.80940138345865,0.0783426749914205,0.0831862261579857
8.97253844611529,0.078416237172166,0.0854789606634901
9.13567550877193,0.0784897993529115,0.0877716951689945
9.29881257142857,0.0786601887565095,0.0913065428417382
9.46194963408522,0.0789019245348411,0.0957566317956055
9.62508669674186,0.0791436603131726,0.100206720749473
9.7882237593985,0.0793853960915041,0.10465680970334
9.95136082205514,0.0797070090411747,0.107544976543634
10.1144978847118,0.0800951863002945,0.109131541622617
10.2776349473684,0.0804833635594143,0.1107181067016
10.4407720100251,0.0808715408185341,0.112304671780583
10.6039090726817,0.0811647518486517,0.108958733961992
10.7670461353383,0.0813685828985319,0.100970440475097
10.930183197995,0.081572413948412,0.0929821469882024
11.0933202606516,0.0817762449982922,0.0849938535013073
11.2564573233083,0.0818419603477629,0.0795942067156724
11.4195943859649,0.0817609277655484,0.0769449970501264
11.5827314486216,0.0816798951833339,0.0742957873845804
11.7458685112782,0.0815988626011194,0.0716465777190343
11.9090055739348,0.0814913029656769,0.0703248305071291
12.0721426365915,0.0813519108663607,0.0705960382395928
12.2352796992481,0.0812125187670445,0.0708672459720564
12.3984167619048,0.0810731266677283,0.0711384537045201
12.5615538245614,0.0809489241596228,0.0716138378786904
12.724690887218,0.0808453360967316,0.0723663186523195
12.8878279498747,0.0807417480338405,0.0731187994259487
13.0509650125313,0.0806381599709493,0.0738712801995779
13.214102075188,0.0805822478863631,0.0758058640202305
13.3772391378446,0.0805996834607074,0.0795590679132268
13.5403762005013,0.0806171190350517,0.0833122718062231
13.7035132631579,0.080634554609396,0.0870654756992194
13.8666503258145,0.0806768282444485,0.0890768097595676
14.0297873884712,0.0807625684857404,0.0880398716127817
14.1929244511278,0.0808483087270322,0.0870029334659957
14.3560615137845,0.080934048968324,0.0859659953192098
14.5191985764411,0.08100302834922,0.0850242588499067
14.6823356390977,0.0810384860093241,0.0842729257355692
14.8454727017544,0.0810739436694281,0.0835215926212317
15.008609764411,0.0811094013295322,0.0827702595068942
15.1717468270677,0.0811592324190751,0.0830357217340901
15.3348838897243,0.0812421223963272,0.0856398132468124
15.498020952381,0.0813250123735792,0.0882439047595348
15.6611580150376,0.0814079023508313,0.0908479962722571
15.8242950776942,0.081476494907433,0.0915367452904591
15.9874321403509,0.081506961008967,0.0871179143232736
16.1505692030075,0.0815374271105011,0.0826990833560882
16.3137062656642,0.0815678932120352,0.0782802523889027
16.4768433283208,0.0815545057989947,0.0743151700167749
16.6399803909774,0.0814040761529086,0.0717680520042024
16.8031174536341,0.0812536465068226,0.0692209339916298
16.9662545162907,0.0811032168607365,0.0666738159790573
17.1293915789474,0.0809529345405907,0.0651571586163774
17.292528641604,0.0808031994310802,0.067467926524727
17.4556657042607,0.0806534643215696,0.0697786944330765
17.6188027669173,0.0805037292120591,0.0720894623414261
17.7819398295739,0.0803618050008226,0.0738145631084572
17.9450768922306,0.0802550298318197,0.0729041617395548
18.1082139548872,0.0801482546628168,0.0719937603706523
18.2713510175439,0.0800414794938139,0.0710833590017499
18.4344880802005,0.0799178962058105,0.069748932473636
18.5976251428571,0.0797001874514047,0.0660399650539381
18.7607622055138,0.0794824786969988,0.0623309976342402
18.9238992681704,0.079264769942593,0.0586220302145423
19.0870363308271,0.0790246309086706,0.0548458107520718
19.2501733934837,0.0786218723482532,0.0505820139795004
19.4133104561404,0.0782191137878359,0.046318217206929
19.576447518797,0.0778163552274186,0.0420544204343576
19.7395845814536,0.0773983115151175,0.0378275905489698
19.9027216441103,0.0768274162839789,0.0339704295354177
20.0658587067669,0.0762565210528403,0.0301132685218657
20.2289957694236,0.0756856258217018,0.0262561075083136
20.3921328320802,0.0751094882083762,0.0225239614017543
20.5552698947368,0.0744520936711511,0.0207295463535823
20.7184069573935,0.0737946991339261,0.0189351313054104
20.8815440200501,0.0731373045967011,0.0171407162572384
21.0446810827068,0.0724830990497004,0.0155278148568156
21.2078181453634,0.0719309411898773,0.0197233501843648
21.3709552080201,0.0713787833300542,0.023918885511914
21.5340922706767,0.0708266254702311,0.0281144208394633
21.6972293333333,0.070274467610408,0.0323099561670125
21.86036639599,0.0699295083144655,0.0357329686409646
22.0235034586466,0.0695845490185231,0.0391559811149167
22.1866405213033,0.0692395897225806,0.0425789935888689
22.3497775839599,0.0688946304266382,0.046002006062821
22.5129146466165,0.0686706114971154,0.0473902580948913
22.6760517092732,0.0684503719540432,0.0487149238631529
22.8391887719298,0.068230132410971,0.0500395896314144
23.0023258345865,0.0680098928678988,0.0513642553996759
23.1654628972431,0.0678178822464171,0.0509627396153536
23.3285999598998,0.0676276928456832,0.0504498572792516
23.4917370225564,0.0674375034449493,0.0499369749431496
23.654874085213,0.0672473140442154,0.0494240926070476
23.8180111478697,0.067037946972026,0.0484555433887726
23.9811482105263,0.0668266621326911,0.0474414274822803
