"draw","lambda_at_index_26","lambda_at_index_51","lambda_at_index_75","lambda_at_index_100"
1,0.0276427152026599,0.0783149550454113,0.217201718511669,0.639854300154996
2,0.0276704720923615,0.0778501588806383,0.218988740621646,0.658336478668484
3,0.0276618043464808,0.0774784346179896,0.218534259755991,0.649627509236417
4,0.0277030293598122,0.0773811675748925,0.217636069376057,0.66638721954082
5,0.0276828350159391,0.0781421955722433,0.216918533849304,0.687149958427542
6,0.0277100320807741,0.078301887545601,0.220504399142484,0.694593123520532
7,0.0276982255778066,0.0781772526213151,0.220755452391585,0.667555921288973
8,0.0276382981821741,0.0776428479484758,0.220668874298892,0.653562239522119
9,0.0276677397658382,0.0777869560231736,0.221991095171544,0.655120662248725
10,0.027646430977209,0.0774482455694597,0.214380471184491,0.642785056349222
11,0.0277194560431641,0.0779439271299993,0.21680333583373,0.670852399101335
12,0.0276780049440222,0.0779047392071899,0.213947421531472,0.653729739948373
13,0.0277319124130963,0.0783880821657562,0.219093076963899,0.70363912013293
14,0.0277162647103348,0.0777624779521828,0.217192820714208,0.681021485941016
15,0.0276942699252464,0.0781268950212498,0.218936350715726,0.650695888565721
16,0.0276960237143098,0.0777369901906484,0.215403706681606,0.643723595321193
17,0.0276916437422503,0.0780016670692987,0.212698025185186,0.658934858071283
18,0.0277085925936328,0.0780569795376766,0.214223066389083,0.630638147410673
19,0.0277783622215121,0.0782824648368034,0.215969908475497,0.669845590475245
20,0.0276574338023689,0.0778686043920782,0.219200179484136,0.671626230412902
21,0.0276383326602689,0.0776178584569434,0.215675412978451,0.664477999824701
22,0.0276657158291983,0.0780207688998002,0.220045766618552,0.669438881053083
23,0.027651845623822,0.077439922556638,0.216408022278659,0.657317801235061
24,0.0277413036272492,0.0780884779996227,0.218811746765608,0.661924693146031
25,0.027675764609932,0.0771104036815332,0.215250008350771,0.682278284404287
26,0.0276753800908235,0.0779446679158084,0.218171970300721,0.661389245795774
27,0.0277220572073702,0.0775633909874635,0.217461366248738,0.682884104771179
28,0.0276831799839737,0.077527760269941,0.216763791228179,0.645906828405939
29,0.0276620731091761,0.0776990846708257,0.216650944886436,0.653681367889223
30,0.0276368404215468,0.0773137732757214,0.21527533014223,0.678324091130784
31,0.0277511786303982,0.0781449819964193,0.217648675738912,0.673330701893639
32,0.0276363371617248,0.0777977133841536,0.21556519284297,0.67718392359076
33,0.027697480568999,0.0774799953088432,0.218002203076099,0.674876065979689
34,0.0277035574456124,0.0776992428101153,0.215007711583267,0.65953669648948
35,0.0276794566687144,0.0774371945042787,0.216895962109287,0.660675846380541
36,0.0277043179429295,0.0780751548189224,0.215274877105751,0.63670228443755
37,0.0277119813867436,0.078072400411299,0.219536798134984,0.63932612125608
38,0.0276881135976408,0.0779900121748764,0.216066326950268,0.684015794187098
39,0.0276499211289376,0.0773246800014113,0.213549483303126,0.661360148131454
40,0.0277106569437323,0.0780086591227437,0.216490361256204,0.623462894298784
41,0.0276994054254717,0.0783031304066072,0.220974449580129,0.673305848278081
42,0.0276295226775747,0.0777254090399847,0.21469581188012,0.690655463738971
43,0.0276875447564287,0.0776951167712003,0.21856176569091,0.646833608712616
44,0.0276368264829701,0.0776463058265684,0.218021938983469,0.662798664130829
45,0.0276940255135933,0.0778915141245049,0.219460899285632,0.661933953315995
46,0.0277276827535918,0.0780698383568385,0.221009288022193,0.648610000497452
47,0.0276982873934597,0.0777980176874338,0.216930683577993,0.700822297249756
48,0.0277283233666968,0.0779062208534091,0.221259710284723,0.664793069929814
49,0.0277110110315291,0.0781070573023706,0.220086645217004,0.647214105540717
50,0.0276611849137377,0.0776899328010221,0.215204356866572,0.627406445618145
51,0.0277683746450921,0.07787614121904,0.218108390748411,0.643515521329211
52,0.0276496532556839,0.0775848407178963,0.215850904281942,0.675915613219147
53,0.0277630555634937,0.0781070597241874,0.219052745930691,0.654625338319242
54,0.0276318696157128,0.0771620008938617,0.212941067445019,0.687462283924885
55,0.027654448513687,0.0775028893615489,0.217716744058973,0.682546949102124
56,0.0276774316780482,0.0774903602114079,0.219897996810337,0.660998516047359
