"draw","lambda_at_index_26","lambda_at_index_51","lambda_at_index_75","lambda_at_index_100"
410,0.187831818237839,0.22967087219529,0.209769969122745,0.226827153001418
411,0.188419152124838,0.232826502835981,0.212533250909975,0.231820033034412
412,0.187893818766478,0.230919469407899,0.210490430321176,0.227427371631058
413,0.190586283330391,0.237230846357437,0.217743598853486,0.237904773109413
414,0.187868417254301,0.230174147363037,0.210179808295329,0.228768838272629
415,0.189560927061655,0.233782365080247,0.212557945736214,0.229891236449403
416,0.187972513279051,0.232089547339084,0.212747520956433,0.233164860933898
417,0.189309202509935,0.233614478531768,0.213875090959576,0.232449321999538
418,0.191146741842748,0.238303489256839,0.218872357979818,0.239773337698251
419,0.187910722377937,0.230624404033232,0.210422826081404,0.228137466597367
420,0.188649382048242,0.232194664014628,0.2127953324393,0.233095973348375
421,0.188272427647749,0.232689115415852,0.212032229888787,0.230205265394122
422,0.188200225028936,0.233659198808449,0.213629068633507,0.234230397994328
423,0.189359421400041,0.23543594191619,0.215765214831292,0.236103142523761
424,0.190326463879167,0.236070427157149,0.215769620609483,0.233814917896849
425,0.18837456439704,0.232877834739554,0.211662870135744,0.227891019257051
426,0.188669914188009,0.231599619122143,0.211703359607345,0.228915127689224
427,0.188229255861653,0.232376634413305,0.21235382805129,0.231484880514388
428,0.18810838406099,0.231370986417421,0.211217106713052,0.2288719828602
429,0.187823965964346,0.229545362000916,0.209539019319063,0.226007181696756
430,0.188105995007985,0.233416339666024,0.213119962467694,0.232987498872403
431,0.188118796919853,0.230607588102599,0.210522320468524,0.228589494838139
432,0.190396272702424,0.237065733399468,0.218035951976954,0.238877758952216
433,0.189359054514988,0.233887203410105,0.213978316339829,0.232436071699837
434,0.188469034350965,0.233065520785199,0.213218668379299,0.231938054258579
435,0.188012028853038,0.232290672187122,0.212271930228557,0.230310370374275
436,0.189997567915908,0.234816369626942,0.215265138440336,0.233241545436645
437,0.189131873795662,0.232577800191568,0.21275725033606,0.230648558494404
438,0.190544424539393,0.236347792651335,0.216938752053684,0.234531878348873
439,0.188278814777707,0.230966756292661,0.210734672135836,0.230135244223369
440,0.18795910262908,0.230812079215717,0.21051078404773,0.22878604285957
441,0.189081634826796,0.23334094079402,0.213844330880368,0.232246667227949
442,0.18815673150583,0.232794238414229,0.212032359775745,0.232167943949697
443,0.189958051728486,0.234699788106366,0.214864876528759,0.232949659517175
444,0.187926363380986,0.230989258218216,0.211391006747425,0.229263947821154
445,0.188196812741317,0.233724814007951,0.212781125494228,0.232996873253157
446,0.188509099281209,0.232609197347944,0.213031394759575,0.231579097593715
447,0.190527014881127,0.236575363272048,0.216993632230068,0.236747816350397
448,0.190125587163547,0.234990785692396,0.213279649903547,0.230475873901045
449,0.188338529896142,0.231367859200214,0.211367102354969,0.228802127695724
450,0.187886580322328,0.230416831694667,0.210398359811455,0.227663831121445
451,0.189917723280025,0.234452868344731,0.214559998282826,0.233529640413658
452,0.187891155552471,0.230343275214439,0.210322108291326,0.227668016930661
453,0.188337996580378,0.23341729694724,0.214546856361204,0.23437604706771
454,0.188414184674372,0.233415023605859,0.213019019629543,0.232864027637586
455,0.191147385691065,0.237902303551938,0.218399803120756,0.238386133832206
456,0.189298645103895,0.234195622082307,0.214762850164802,0.23356388461441
457,0.187906158256321,0.230188956551613,0.210277235748228,0.229255519305333
458,0.187925940793859,0.230279092715666,0.210247352511508,0.229796349323768
459,0.188873314607433,0.234788632687671,0.21564352742026,0.235266795579386
460,0.188125518694845,0.232453618902264,0.211605194473873,0.229747236790761
461,0.188068324170547,0.232862409130401,0.212467771482127,0.232838827863046
462,0.188946707198892,0.232438637419522,0.21274875040857,0.231948989699103
463,0.189022831252644,0.233533116401017,0.212734246660581,0.232078670720876
464,0.188058173590711,0.231112785187819,0.210580643223978,0.228432316922941
465,0.190392889568292,0.235131029176637,0.213406364664714,0.231688613116088
466,0.190038921952317,0.236010046809405,0.216511549139648,0.235584355004143
467,0.18989801056659,0.234498359657291,0.213292515990855,0.232134329964905
468,0.188011594558372,0.23202877990696,0.212040191264233,0.230828063174735
469,0.18789745365938,0.230767794346495,0.210426893147253,0.228375224304978
470,0.191040834101798,0.238060955612423,0.219015525964743,0.238048908734859
471,0.189587962899058,0.235000509834911,0.214553744758052,0.232791994705746
472,0.187968165187418,0.231105361750809,0.211449741351103,0.22931085595562
473,0.188018887033943,0.232341292160063,0.212076582529808,0.231087369944388
474,0.18898188775558,0.235234818851772,0.216154699071251,0.236631602630393
475,0.188043893512177,0.232212680364178,0.212007347872924,0.231125651983439
476,0.188017801848354,0.231316771170359,0.211100405780444,0.229686293758545
477,0.189788749353149,0.235714265228882,0.216084021246286,0.236024213116351
478,0.190023863107967,0.235333734477601,0.215485176836449,0.235033831719468
479,0.189179313474583,0.233670324109281,0.214413884434434,0.234182792197795
480,0.187849892281728,0.230608213415668,0.210363045805616,0.228472523216302
481,0.187979028694921,0.231336625667127,0.211151282233483,0.229546512171849
482,0.18795176881816,0.230440197803874,0.210303671979872,0.228983466539821
483,0.187880750649752,0.230098778378653,0.210264526433139,0.227513581946834
484,0.187954910573227,0.231048937334209,0.210746461331669,0.229584390858045
485,0.188024550001296,0.230580992562135,0.210428900597222,0.22888351883112
486,0.189017901608553,0.232939226981853,0.213169057736068,0.230822826076372
487,0.187901850925687,0.230208705294181,0.210054988905714,0.227638415987497
488,0.18884991635452,0.234651340739339,0.215098257018109,0.234616853085475
489,0.1888600540887,0.233582169347453,0.21241937862561,0.232238316584828
490,0.187939153003902,0.229758404341519,0.209787752617687,0.226212175551304
491,0.188634128832612,0.23116678488269,0.210745904882644,0.22931045213132
492,0.190174822616797,0.23613244728958,0.216422459818645,0.236432133509348
493,0.18951829803169,0.233553590195338,0.213904915669123,0.232115698607045
494,0.18804232683296,0.232707562197973,0.212198468729252,0.232072490673254
495,0.187899198404251,0.230620437781947,0.210317999562168,0.226702199407169
496,0.187823336225943,0.229499693727563,0.209496551683675,0.225856953786902
497,0.188176991549063,0.231606059830627,0.212145462070149,0.230886442839839
498,0.18806501027093,0.232618547499996,0.211878852474794,0.229762344834672
499,0.187890812110424,0.230509098791487,0.210311598908342,0.229084643664322
500,0.18909637489174,0.233341330385355,0.213273203518031,0.23201630040206
501,0.188649303286797,0.231768660903619,0.211733600432482,0.229203944630127
