rho,turnover_cap,x,width_factor,q_infimum,lower_attained
0.8,0.5,1.0,1.0,0.8,True
0.8,0.5,1.0128755364806867,1.0079829696647151,0.8064377682403434,True
0.8,0.5,1.0257510729613735,1.0158394931362198,0.8128755364806868,True
0.8,0.5,1.0386266094420602,1.0235725510738607,0.8193133047210301,True
0.8,0.5,1.0515021459227467,1.031185031185031,0.8257510729613734,True
0.8,0.5,1.0643776824034334,1.038679731820526,0.8321888412017168,True
0.8,0.5,1.0772532188841202,1.046059365404299,0.8386266094420601,True
0.8,0.5,1.090128755364807,1.05332656170645,0.8450643776824035,True
0.8,0.5,1.1030042918454936,1.0604838709677422,0.8515021459227469,True
0.8,0.5,1.1158798283261802,1.0675337668834415,0.8579399141630901,True
0.8,0.5,1.128755364806867,1.0744786494538234,0.8643776824034335,True
0.8,0.5,1.1416309012875536,1.0813208477082308,0.8708154506437769,True
0.8,0.5,1.1545064377682404,1.0880626223091978,0.8772532188841202,True
0.8,0.5,1.167381974248927,1.0947061680427392,0.8836909871244636,True
0.8,0.5,1.1802575107296138,1.1012536162005786,0.890128755364807,True
0.8,0.5,1.1931330472103003,1.1077070368597415,0.8965665236051502,True
0.8,0.5,1.206008583690987,1.1140684410646386,0.9030042918454936,True
0.8,0.5,1.2188841201716738,1.1203397829164699,0.909442060085837,True
0.8,0.5,1.2317596566523605,1.1265229615745078,0.9158798283261803,True
0.8,0.5,1.2446351931330473,1.132619823173569,0.9223175965665237,True
0.8,0.5,1.2575107296137338,1.1386321626617373,0.9287553648068669,True
0.8,0.5,1.2703862660944205,1.144561725562184,0.9351931330472103,True
0.8,0.5,1.2832618025751072,1.150410209662716,0.9416309012875537,True
0.8,0.5,1.296137339055794,1.156179266636487,0.948068669527897,True
0.8,0.5,1.3090128755364807,1.1618705035971222,0.9545064377682404,True
0.8,0.5,1.3218884120171674,1.1674854845913352,0.9609442060085838,True
0.8,0.5,1.3347639484978542,1.1730257320319433,0.9673819742489271,True
0.8,0.5,1.3476394849785407,1.1784927280740414,0.9738197424892704,True
0.8,0.5,1.3605150214592274,1.1838879159369526,0.9802575107296138,True
0.8,0.5,1.3733905579399142,1.1892127011744236,0.9866952789699571,True
0.8,0.5,1.386266094420601,1.1944684528954193,0.9931330472103005,True
0.8,0.5,1.3991416309012876,1.1996565049377415,0.9995708154506439,True
0.8,0.5,1.4120171673819741,1.2047781569965872,1.0060085836909871,True
0.8,0.5,1.4248927038626609,1.2098346757100467,1.0124463519313305,True
0.8,0.5,1.4377682403433476,1.2148272957034543,1.0188841201716738,True
0.8,0.5,1.4506437768240343,1.2197572205943912,1.0253218884120172,True
0.8,0.5,1.463519313304721,1.2246256239600668,1.0317596566523606,True
0.8,0.5,1.4763948497854078,1.2294336502687064,1.038197424892704,True
0.8,0.5,1.4892703862660945,1.2341824157764998,1.0446351931330473,True
0.8,0.5,1.5021459227467813,1.2388730093915887,1.0510729613733907,True
0.8,0.5,1.5150214592274678,1.2435064935064934,1.057510729613734,True
0.8,0.5,1.5278969957081545,1.2480839048003227,1.0639484978540774,True
0.8,0.5,1.5407725321888412,1.2526062550120287,1.0703862660944208,True
0.8,0.5,1.5536480686695278,1.2570745316859304,1.076824034334764,True
0.8,0.5,1.5665236051502145,1.2614896988906497,1.0832618025751073,True
0.8,0.5,1.5793991416309012,1.265852697912564,1.0896995708154507,True
0.8,0.5,1.592274678111588,1.2701644479248235,1.096137339055794,True
0.8,0.5,1.6051502145922747,1.274425846632931,1.1025751072961374,True
0.8,0.5,1.6180257510729614,1.2786377708978327,1.1090128755364808,True
0.8,0.5,1.6309012875536482,1.2828010773374372,1.1154506437768241,True
0.8,0.5,1.643776824034335,1.2869166029074215,1.1218884120171675,True
0.8,0.5,1.6566523605150214,1.290985165462153,1.1283261802575106,True
0.8,0.5,1.6695278969957081,1.2950075642965204,1.134763948497854,True
0.8,0.5,1.6824034334763949,1.2989845806694247,1.1412017167381974,True
0.8,0.5,1.6952789699570814,1.3029169783096486,1.1476394849785407,True
0.8,0.5,1.7081545064377681,1.3068055039047974,1.154077253218884,True
0.8,0.5,1.7210300429184548,1.3106508875739646,1.1605150214592275,True
0.8,0.5,1.7339055793991416,1.314453843324752,1.1669527896995708,True
0.8,0.5,1.7467811158798283,1.3182150694952453,1.1733905579399142,True
0.8,0.5,1.759656652360515,1.3219352491815208,1.1798283261802576,True
0.8,0.5,1.7725321888412018,1.3256150506512303,1.186266094420601,True
0.8,0.5,1.7854077253218885,1.329255127743793,1.1927038626609443,True
0.8,0.5,1.7982832618025753,1.3328561202576952,1.1991416309012877,True
0.8,0.5,1.8111587982832618,1.3364186543253824,1.205579399141631,True
0.8,0.5,1.8240343347639485,1.339943342776204,1.2120171673819744,True
0.8,0.5,1.8369098712446352,1.3434307854878476,1.2184549356223178,True
0.8,0.5,1.8497854077253217,1.346881569726699,1.224892703862661,True
0.8,0.5,1.8626609442060085,1.350296270477518,1.2313304721030043,True
0.8,0.5,1.8755364806866952,1.3536754507628292,1.2377682403433476,True
0.8,0.5,1.888412017167382,1.3570196619523973,1.244206008583691,True
0.8,0.5,1.9012875536480687,1.3603294440631433,1.2506437768240344,True
0.8,0.5,1.9141630901287554,1.3636053260498462,1.2570815450643777,True
0.8,0.5,1.9270386266094421,1.3668478260869563,1.2635193133047211,True
0.8,0.5,1.9399141630901289,1.3700574518418385,1.2699570815450645,True
0.8,0.5,1.9527896995708156,1.3732347007397443,1.2763948497854078,True
0.8,0.5,1.9656652360515021,1.3763800602208098,1.282832618025751,True
0.8,0.5,1.9785407725321889,1.3794940079893476,1.2892703862660944,True
0.8,0.5,1.9914163090128756,1.382577012255714,1.2957081545064377,True
0.8,0.5,2.0042918454935625,1.3856295319709953,1.3021459227467813,True
0.8,0.5,2.017167381974249,1.3886520170547723,1.3085836909871245,True
0.8,0.5,2.0300429184549356,1.3916449086161882,1.3150214592274678,True
0.8,0.5,2.0429184549356223,1.3946086391685615,1.3214592274678112,True
0.8,0.5,2.055793991416309,1.3975436328377504,1.3278969957081546,True
0.8,0.5,2.0686695278969958,1.4004503055644903,1.334334763948498,True
0.8,0.5,2.0815450643776825,1.4033290653008965,1.3407725321888413,True
0.8,0.5,2.094420600858369,1.4061803122013377,1.3472103004291844,True
0.8,0.5,2.1072961373390555,1.4090044388078629,1.3536480686695278,True
0.8,0.5,2.1201716738197423,1.4118018302303563,1.3600858369098712,True
0.8,0.5,2.133047210300429,1.4145728643216078,1.3665236051502145,True
0.8,0.5,2.1459227467811157,1.4173179118474521,1.372961373390558,True
0.8,0.5,2.1587982832618025,1.4200373366521466,1.3793991416309013,True
0.8,0.5,2.171673819742489,1.4227314958191388,1.3858369098712446,True
0.8,0.5,2.184549356223176,1.4254007398273734,1.392274678111588,True
0.8,0.5,2.1974248927038627,1.4280454127032831,1.3987124463519314,True
0.8,0.5,2.2103004291845494,1.4306658521686009,1.4051502145922747,True
0.8,0.5,2.223175965665236,1.4332623897841288,1.411587982832618,True
0.8,0.5,2.236051502145923,1.4358353510895883,1.4180257510729615,True
0.8,0.5,2.2489270386266096,1.4383850557396805,1.4244635193133048,True
0.8,0.5,2.2618025751072963,1.4409118176364726,1.4309012875536482,True
0.8,0.5,2.274678111587983,1.4434159450582262,1.4373390557939916,True
0.8,0.5,2.28755364806867,1.44589774078478,1.443776824034335,True
0.8,0.5,2.3004291845493565,1.4483575022195916,1.4502145922746783,True
0.8,0.5,2.313304721030043,1.4507955215085444,1.4566523605150214,True
0.8,0.5,2.3261802575107295,1.4532120856556174,1.4630901287553648,True
0.8,0.5,2.3390557939914163,1.4556074766355143,1.4695278969957082,True
0.8,0.5,2.351931330472103,1.4579819715033442,1.4759656652360515,True
0.8,0.5,2.3648068669527897,1.4603358425014477,1.482403433476395,True
0.8,0.5,2.3776824034334765,1.462669357163448,1.4888412017167383,True
0.8,0.5,2.3905579399141628,1.464982778415614,1.4952789699570814,True
0.8,0.5,2.4034334763948495,1.4672763646756213,1.5017167381974248,True
0.8,0.5,2.4163090128755362,1.4695503699487762,1.5081545064377682,True
0.8,0.5,2.429184549356223,1.4718050439217907,1.5145922746781115,True
0.8,0.5,2.4420600858369097,1.474040632054176,1.521030042918455,True
0.8,0.5,2.4549356223175964,1.476257375667322,1.5274678111587983,True
0.8,0.5,2.467811158798283,1.4784555120313372,1.5339055793991416,True
0.8,0.5,2.48068669527897,1.4806352744497073,1.540343347639485,True
0.8,0.5,2.4935622317596566,1.4827968923418424,1.5467811158798284,True
0.8,0.5,2.5064377682403434,1.4849405913235698,1.5532188841201717,True
0.8,0.5,2.51931330472103,1.4870665932856355,1.559656652360515,True
0.8,0.5,2.532188841201717,1.4891751164702658,1.5660944206008585,True
0.8,0.5,2.5450643776824036,1.4912663755458513,1.5725321888412018,True
0.8,0.5,2.5579399141630903,1.4933405816798042,1.5789699570815452,True
0.8,0.5,2.570815450643777,1.495397942609637,1.5854077253218886,True
0.8,0.5,2.5836909871244638,1.497438662712321,1.591845493562232,True
0.8,0.5,2.5965665236051505,1.4994629430719655,1.5982832618025753,True
0.8,0.5,2.6094420600858372,1.5014709815458678,1.6047210300429187,True
0.8,0.5,2.6223175965665235,1.5034629728289823,1.6111587982832618,True
0.8,0.5,2.6351931330472103,1.5054391085168481,1.6175965665236052,True
0.8,0.5,2.648068669527897,1.5073995771670194,1.6240343347639485,True
0.8,0.5,2.6609442060085837,1.5093445643590422,1.630472103004292,True
0.8,0.5,2.6738197424892705,1.5112742527530152,1.6369098712446353,True
0.8,0.5,2.6866952789699567,1.5131888221467744,1.6433476394849784,True
