turnover_cap,no_external_width,D44_width,D398_width,D577_width
0.0,1.0,,,
0.0019839679358717435,1.0019712729583947,,,
0.003967935871743487,1.0039503331016093,,,
0.0059519038076152305,1.0059372266639248,,,
0.007935871743486974,1.0079320002463537,,,
0.009919839679358718,1.0099347008202804,,,
0.011903807615230461,1.0119453757311516,,,
0.013887775551102204,1.0139640727022043,,,
0.015871743486973948,1.0159908398382436,,,
0.017855711422845692,1.0180257256294625,,,
0.019839679358717437,1.0200687789553105,,,
0.021823647294589178,1.0221200490884048,,,
0.023807615230460922,1.0241795856984952,,,
0.025791583166332666,1.0262474388564695,,,
0.027775551102204407,1.0283236590384135,,,
0.02975951903807615,1.0304082971297175,,,
0.031743486973947896,1.0325014044292329,,,
0.03372745490981964,1.034603032653482,,,
0.035711422845691385,1.0367132339409144,,,
0.03769539078156313,1.038832060856222,,,
0.03967935871743487,1.0409595663947013,,,
0.04166332665330661,1.043095803986673,,,
0.043647294589178355,1.0452408275019531,,,
0.0456312625250501,1.047394691254385,,,
0.047615230460921844,1.0495574500064198,,,
0.04959919839679359,1.0517291589737587,,,
0.05158316633266533,1.0539098738300534,,,
0.05356713426853708,1.056099650711662,,,
0.055551102204408814,1.0582985462224674,,,
0.05753507014028056,1.0605066174387525,,,
0.0595190380761523,1.0627239219141411,,,
0.06150300601202405,1.0649505176845968,,,
0.06348697394789579,1.0671864632734875,,,
0.06547094188376754,1.069431817696712,,,
0.06745490981963928,1.0716866404678929,,,
0.06943887775551102,1.0739509916036345,,,
0.07142284569138277,1.0762249316288492,,,
0.07340681362725451,1.0785085215821473,,,
0.07539078156312626,1.080801823021301,,,
0.077374749498998,1.0831048980287756,,,
0.07935871743486975,1.0854178092173299,,,
0.08134268537074148,1.087740619735693,,,
0.08332665330661322,1.0900733932743094,,,
0.08531062124248497,1.0924161940711619,,,
0.08729458917835671,1.0947690869176663,,,
0.08927855711422845,1.0971321371646463,,,
0.0912625250501002,1.0995054107283826,,,
0.09324649298597194,1.1018889740967432,1.0020599199145916,,
0.09523046092184369,1.1042828943353902,1.0042369555134703,,
0.09721442885771543,1.106687239094073,1.0064234711906126,,
0.09919839679358718,1.1091020766129984,1.0086195290037918,,
