actual_age_ma,lambda_p,lambda_lower,lambda_upper
1.0,0.2134582522237048,0.2134582522237048,0.2134582522237048
6.0,0.16805839744962972,0.16805839744962972,0.24263500526715964
11.0,0.1362083712014276,0.1362083712014276,0.23084967533383777
16.0,0.11050385552288772,0.11050385552288772,0.20143337060930838
21.0,0.08836274336085498,0.08836274336085498,0.1668627283925767
26.0,0.06930816385153332,0.06930816385153332,0.13330390163030173
31.0,0.05403935436917869,0.05403935436917869,0.1050044880956811
36.0,0.05541384917646913,0.05541384917646914,0.10841349846336402
41.0,0.03483060499276397,0.03483060499276397,0.06844488619569451
46.0,0.0640666088715508,0.0640666088715508,0.12637930544225978
51.0,0.044695256204494674,0.044695256204494674,0.08845517466584461
56.0,0.018435032049695255,0.018435032049695255,0.03654009592144291
61.0,0.06932686514250061,0.06932686514250061,0.13765554807305871
66.0,0.07483288022156907,0.07483288022156907,0.14891270249450825
71.0,0.07787407820695329,0.07787407820695329,0.15521233088783365
