intervals,relative_tolerance_eta_over_cdelta,single_draw_probability,samples_for_95pct
2,0.04,0.0008,3744
2,0.04224291601598524,0.0008922319767667911,3357
2,0.04461159883833954,0.0009950973754564688,3009
2,0.04711310057667,0.0011098221229737116,2698
2,0.049754868772823396,0.0012377734833004385,2419
2,0.05254476857391862,0.0013804763522433329,2169
2,0.0554911061486856,0.0015396314308023461,1945
2,0.05860265341682615,0.0017171354937463227,1744
2,0.06188867416502191,0.0019151039949521253,1563
2,0.06535895162734237,0.00213589627891264,1402
2,0.06902381761216662,0.0023821436988788218,1257
2,0.0728941832623359,0.002656780976741506,1127
2,0.07698157154011726,0.0029630811783930957,1010
2,0.08129815153369328,0.0033046947213976777,906
2,0.08585677468731615,0.0036856928798542853,812
2,0.09067101306299151,0.004110616304934588,728
2,0.09575519974760624,0.004584529139351985,652
2,0.1011244715258005,0.005113079370686217,585
2,0.10679481394563199,0.005702566142841077,524
2,0.11278310891120247,0.006360014827838079,470
2,0.11910718494394099,0.0070932607526350815,421
2,0.12578587026218296,0.007911042578807361,378
2,0.1328390488370752,0.008823106447969426,339
2,0.14028771959169817,0.009840322134119468,303
2,0.14815405891965475,0.010974812587184265,272
2,0.15646148670925752,0.012240098411635585,244
2,0.16523473606988384,0.013651259002042086,218
2,0.17449992696808966,0.015225112255934313,196
2,0.18428464399271416,0.0169804150057607,175
2,0.19461801848049895,0.018938086558637917,157
2,0.20553081524672945,0.021121458007992616,141
2,0.21705552417911414,0.023556550288335,126
2,0.22922645696759922,0.026272384286959306,113
2,0.24207984925810364,0.02930132670841309,101
2,0.25565396853431077,0.03267947581367118,91
2,0.2699892280487055,0.03644709163116795,81
2,0.28512830714205367,0.04064907576684665,73
2,0.3011162783095453,0.04533550653149577,65
2,0.3180007413919038,0.05056223576290025,58
2,0.33583196529098075,0.05639155445560125,52
2,0.354663037631754,0.06289293513109148,47
2,0.3745500228163098,0.07014385979584908,42
2,0.395552128940368,0.07823074335462876,37
2,0.4177318840693031,0.08724996348404485,33
2,0.4411553223984712,0.09730900924024954,30
2,0.4658921808520874,0.10852776208955706,27
2,0.4920161067059732,0.12103992462905179,24
2,0.5196048768523113,0.13499461402435278,21
2,0.5487406293592132,0.1505581391547727,19
2,0.579510108014503,0.16791598264549046,17
2,0.612004920581779,0.18727501140815483,15
2,0.646321811537645,0.20886594203465156,13
2,0.6825629501021042,0.2329460904260438,12
2,0.7208362344196575,0.2598024384261557,10
2,0.7612556127967154,0.2897550540072513,9
2,0.8039414229517254,0.32316090576882256,8
2,0.8490207502880348,0.3604181172098288,7
2,0.8966278062561555,0.40197071147586294,6
2,0.9469043279318956,0.44831390312807745,6
2,1.0,0.5,5
4,0.04,1.0666666666666667e-07,28084989
4,0.04224291601598524,1.3267965006086262e-07,22578686
4,0.04461159883833954,1.6503646444005875e-07,18151941
4,0.04711310057667,2.0528419077364604e-07,14593097
4,0.049754868772823396,2.553471993269501e-07,11731995
4,0.05254476857391862,3.1761915985050973e-07,9431836
4,0.0554911061486856,3.9507749045241334e-07,7582644
4,0.05860265341682615,4.914257173139046e-07,6096001
4,0.06188867416502191,6.112705519135983e-07,4900828
4,0.06535895162734237,7.603421523788104e-07,3939978
4,0.06902381761216662,9.457681003513457e-07,3167511
4,0.0728941832623359,1.1764141930625917e-06,2546494
4,0.07698157154011726,1.4633083449579026e-06,2047231
4,0.08129815153369328,1.820167866938946e-06,1645854
4,0.08585677468731615,2.2640553341014293e-06,1323170
4,0.09067101306299151,2.8161944010656816e-06,1063751
4,0.09575519974760624,3.5029845715945754e-06,855193
4,0.1011244715258005,4.357263441822828e-06,687525
4,0.10679481394563199,5.419876768912893e-06,552730
4,0.11278310891120247,6.741631435053371e-06,444362
4,0.11910718494394099,8.385724684145534e-06,357241
4,0.12578587026218296,1.0430765780617173e-05,287201
4,0.1328390488370752,1.2974534565366609e-05,230892
4,0.14028771959169817,1.6138656617206916e-05,185624
4,0.14815405891965475,2.0074418553969696e-05,149230
4,0.15646148670925752,2.497000152108733e-05,119972
4,0.16523473606988384,3.1059478723472514e-05,96450
4,0.17449992696808966,3.863400720096687e-05,77540
4,0.18428464399271416,4.8055748961310525e-05,62338
4,0.19461801848049895,5.977518708374368e-05,50116
4,0.20553081524672945,7.43526647305659e-05,40290
4,0.21705552417911414,9.248517691447597e-05,32390
4,0.22922645696759922,0.00011503969602027772,26040
4,0.24207984925810364,0.00014309462447886038,20934
4,0.25565396853431077,0.00017799135657605328,16830
4,0.2699892280487055,0.00022139841472845886,13530
4,0.28512830714205367,0.0002753912267831399,10877
4,0.3011162783095453,0.0003425513587445492,8744
4,0.3180007413919038,0.0004260899475571848,7030
4,0.33583196529098075,0.0005300012356531735,5651
4,0.354663037631754,0.0006592535482339468,4543
4,0.3745500228163098,0.0008200268445099556,3652
4,0.395552128940368,0.001020008200969632,2936
4,0.4177318840693031,0.0012687593546611934,2360
4,0.4411553223984712,0.001578173879886495,1897
4,0.4658921808520874,0.0019630458573612493,1525
4,0.4920161067059732,0.0024417772257010898,1226
4,0.5196048768523113,0.003037257635930664,985
4,0.5487406293592132,0.0037779588776246497,792
4,0.579510108014503,0.004699296204633442,636
4,0.612004920581779,0.005845321649654087,512
4,0.646321811537645,0.00727083029033707,411
4,0.6825629501021042,0.009043980174129763,330
4,0.7208362344196575,0.011249551168696073,265
4,0.7612556127967154,0.013992998553790855,213
4,0.8039414229517254,0.0174054951695543,171
4,0.8490207502880348,0.021650203202179644,137
4,0.8966278062561555,0.02693007548073524,110
4,0.9469043279318956,0.033497559289655206,88
4,1.0,0.041666666666666664,71
8,0.04,1.6253968253968257e-16,18430774729873176
8,0.04224291601598524,2.5148413628961373e-16,11912211711453836
8,0.04461159883833954,3.891004942124968e-16,7699122252766789
8,0.04711310057667,6.02022842594153e-16,4976110641658042
8,0.049754868772823396,9.314598886302454e-16,3216168844328177
8,0.05254476857391862,1.4411704386306237e-15,2078680073677117
8,0.0554911061486856,2.2298031923168102e-15,1343496270826199
8,0.05860265341682615,3.4499890805355092e-15,868330943554461
8,0.06188867416502191,5.337881251953644e-15,561221228452311
8,0.06535895162734237,8.258859838343458e-15,362729521046680
8,0.06902381761216662,1.2778247137745617e-14,234440001141072
8,0.0728941832623359,1.9770719337701553e-14,151523686234385
8,0.07698157154011726,3.058959017747766e-14,97933063377869
8,0.08129815153369328,4.7328729483386744e-14,63296274931815
8,0.08585677468731615,7.322780794104476e-14,40909763077515
8,0.09067101306299151,1.1329929863705277e-13,26440872181835
8,0.09575519974760624,1.7529858441185188e-13,17089312407199
8,0.1011244715258005,2.712249243063673e-13,11045195352953
8,0.10679481394563199,4.19643774145738e-13,7138750669307
8,0.11278310891120247,6.492799200871397e-13,4613930264702
8,0.11910718494394099,1.00457683540411e-12,2982083766990
8,0.12578587026218296,1.5542982110013456e-12,1927385782438
8,0.1328390488370752,2.4048363883984696e-12,1245711470437
8,0.14028771959169817,3.720803391544523e-12,805130494226
8,0.14815405891965475,5.756889718285184e-12,520373399552
8,0.15646148670925752,8.907156799472907e-12,336328678274
8,0.16523473606988384,1.3781303122483455e-11,217376560614
8,0.17449992696808966,2.1322664462919432e-11,140495212441
8,0.18428464399271416,3.2990785831892816e-11,90805120217
8,0.19461801848049895,5.1043899869950814e-11,58689329795
8,0.20553081524672945,7.897598217908485e-11,37932193951
8,0.21705552417911414,1.2219297069859887e-10,24516404310
8,0.22922645696759922,1.8905902372054147e-10,15845486845
8,0.24207984925810364,2.925153079249438e-10,10241283762
8,0.25565396853431077,4.525846145111964e-10,6619165073
8,0.2699892280487055,7.002465434896382e-10,4278110761
8,0.28512830714205367,1.0834332541303254e-09,2765036296
8,0.3011162783095453,1.676306191110527e-09,1787103268
8,0.3180007413919038,2.5936091915612066e-09,1155043821
8,0.33583196529098075,4.01287585419844e-09,746530014
8,0.354663037631754,6.208789155129268e-09,482498631
8,0.3745500228163098,9.606343224527929e-09,311849389
8,0.395552128940368,1.486309614350436e-08,201555062
8,0.4177318840693031,2.2996432857718395e-08,130269432
8,0.4411553223984712,3.558046850222848e-08,84195975
8,0.4658921808520874,5.50507005443309e-08,54417695
8,0.4920161067059732,8.517537171360729e-08,35171343
8,0.5196048768523113,1.317847706717018e-07,22732006
8,0.5487406293592132,2.038996183003272e-07,14692191
8,0.579510108014503,3.1547692598403246e-07,9495883
8,0.612004920581779,4.88111216970211e-07,6137396
8,0.646321811537645,7.552139015840435e-07,3966732
8,0.6825629501021042,1.168479677000746e-06,2563785
8,0.7208362344196575,1.8078914499587306e-06,1657030
8,0.7612556127967154,2.797200121805614e-06,1070974
8,0.8039414229517254,4.327875172819687e-06,692194
8,0.8490207502880348,6.696161409938139e-06,447380
8,0.8966278062561555,1.036041379140139e-05,289151
8,0.9469043279318956,1.6029806833770935e-05,186884
8,1.0,2.48015873015873e-05,120787
16,0.04,2.052769883457715e-36,1459360982297701883110591943124451328
16,0.04224291601598524,4.9140847556591306e-36,609621612672443533880648494219264000
16,0.04461159883833954,1.1763729183870186e-35,254658384831026389981591393326333952
16,0.04711310057667,2.8160955944455647e-35,106378926889511082173138941612392448
16,0.049754868772823396,6.741394903862233e-35,44437869554826050738890384435314688
16,0.05254476857391862,1.6138090389920625e-34,18563114973163342704997881991921664
16,0.0554911061486856,3.86326517207944e-34,7754404991934602251771014098714624
16,0.05860265341682615,9.248193205760876e-34,3239262207117267895061732548149248
16,0.06188867416502191,2.213906469305221e-33,1353143104773583994707044082909184
16,0.06535895162734237,5.299826404770981e-33,565251018572455140110938622918656
