deficit,exact_cdf
0.0,0.0
0.006688963210702341,1.3345779391993593e-07
0.013377926421404682,2.1353225867755117e-06
0.020066889632107024,1.0810024177203203e-05
0.026755852842809364,3.4164619712903505e-05
0.033444816053511704,8.340768288312079e-05
0.04013377926421405,0.00017294650495327342
0.046822742474916385,0.0003203813646812354
0.05351170568561873,0.0005464952711394594
0.06020066889632107,0.0008752372335549762
0.06688963210702341,0.00133369676783968
0.07357859531772575,0.0019520670138838197
0.0802675585284281,0.002763593515459896
0.08695652173913043,0.003804505411586883
0.09364548494983277,0.005113925511747619
0.10033444816053512,0.006733755486312677
0.10702341137123746,0.008708532208417217
0.11371237458193979,0.011085251146538017
0.12040133779264214,0.013913152641920425
0.12709030100334448,0.01724346692710547
0.13377926421404682,0.021129113867688697
0.14046822742474915,0.025624353656650372
0.1471571906354515,0.030784385077185235
0.15384615384615385,0.03666488849389091
0.1605351170568562,0.04332151145056171
0.16722408026755853,0.05080929566102316
0.17391304347826086,0.059182045289913
0.1806020066889632,0.0684916377414426
0.18729096989966554,0.07878727970882278
0.1939799331103679,0.09011471298107943
0.20066889632107024,0.10251537644471338
0.20735785953177258,0.11602553283225689
0.2140468227424749,0.13067537102383964
0.22073578595317725,0.14648809705415958
0.22742474916387959,0.16347902935472786
0.23411371237458192,0.18165471609465914
0.2408026755852843,0.2010120946832391
0.24749163879598662,0.22153771546150294
0.25418060200668896,0.2432070532242699
0.2608695652173913,0.2659839313562841
0.26755852842809363,0.2898200839097903
0.27424749163879597,0.31465488077043685
0.2809364548494983,0.34041524003568124
0.28762541806020064,0.36701574976156914
0.294314381270903,0.39435901823980635
0.3010033444816054,0.42233626789939316
0.3076923076923077,0.4508281827786069
0.31438127090301005,0.4797060133258628
0.3210702341137124,0.5088329351602576
0.3277591973244147,0.538065650514134
0.33444816053511706,0.5672562126141082
0.3411371237458194,0.5962540445194792
0.34782608695652173,0.6249081152705583
0.35451505016722407,0.6530692279938844
0.3612040133779264,0.6805923672880763
0.36789297658862874,0.7073390472069456
0.3745819397993311,0.7331795968873824
0.3812709030100334,0.7579953187214993
0.3879598662207358,0.7816804542610046
0.39464882943143814,0.8041438959859597
0.4013377926421405,0.8253105887668764
