bin,mid_age_ma,tau_after_trim_ma,lambda_p_per_ma,F,tThrough,c_min_tThrough,divBC,c_min_divBC,divSIB,c_min_divSIB,divRT,c_min_divRT
bin_1_6,3.5,2.5,0.19075832483666727,1.6574341625029703,,,,,1492.0,0.0,1492.0,0.0
bin_6_11,8.5,7.5,0.15213338432552864,3.873007555725599,907.0,0.0,1112.0,0.0,1339.0,0.10292735402607256,1362.0,0.12395394646005764
bin_11_16,13.5,12.5,0.12335611336215765,7.682262894766119,587.0,0.0,1095.0,0.4950169909676385,1687.0,0.7247399811589506,1692.0,0.7259956251386658
bin_16_21,18.5,17.5,0.09943329944187135,13.378655399343966,831.0,0.6151327072965551,1042.0,0.7094249038618399,1211.0,0.7612496141339193,1224.0,0.764643364014733
bin_21_26,23.5,22.5,0.07883545360619415,20.85103017797758,425.0,0.48261686455506236,992.0,0.807131972601327,1313.0,0.8665996665950644,1318.0,0.8672968424402014
bin_26_31,28.5,27.5,0.06167375911035601,29.55669494770037,325.0,0.5189057569994502,750.0,0.8113693942337523,986.0,0.8648999060482636,995.0,0.8664386632016065
bin_31_36,33.5,32.5,0.054726601772823916,39.13077017868068,237.0,0.4961819450771,568.0,0.8050629830785526,920.0,0.8896817001225339,927.0,0.8907127754969298
bin_36_41,38.5,37.5,0.04512222708461655,50.91994927938451,307.0,0.7074795532850704,585.0,0.8560087842276187,953.0,0.9193462131531824,957.0,0.9197670526870685
bin_41_46,43.5,42.5,0.049448606932157385,62.52364671376314,563.0,0.877965736814416,668.0,0.8997026507329202,756.0,0.9132694643280117,762.0,0.9140803654985129
bin_46_51,48.5,47.5,0.05438093253802274,83.55443027954166,195.0,0.7145628346739117,657.0,0.923799178898021,996.0,0.9538578737095935,996.0,0.9538578737095935
bin_51_56,53.5,52.5,0.03156514412709496,104.02892812031439,296.0,0.8526391304905862,502.0,0.9170928706610654,602.0,0.9324771133879481,604.0,0.9327328382173817
bin_56_61,58.5,57.5,0.04388094859609794,119.7090495340761,44.0,0.09136130070122839,398.0,0.9070401462844728,577.0,0.9384919698987921,577.0,0.9384919698987921
bin_61_66,63.5,62.5,0.07207987268203483,164.56940579497387,28.0,0.0,143.0,0.801328962842622,286.0,0.9037212877817054,286.0,0.9037212877817054
bin_66_71,68.5,67.5,0.07635347921426118,238.8787954702308,0.0,,109.0,0.8194670775781077,211.0,0.9087710959774736,211.0,0.9087710959774736
