finite_cloud_status,continuous_certificate_status,queries
BELOW,BELOW,1620
BELOW,UNRESOLVED,112
BELOW,ABOVE,30
UNRESOLVED,BELOW,0
UNRESOLVED,UNRESOLVED,278
UNRESOLVED,ABOVE,0
ABOVE,BELOW,0
ABOVE,UNRESOLVED,390
ABOVE,ABOVE,1410
