age,F_true,F_lower_95,F_plugin,F_upper_95,minimum_cap_lower,minimum_cap_plugin,minimum_cap_upper
0,1,1,1,1,0,0,0
0.25,1.0202013400267558,1,1,1.4767189175377926,0,0,0
0.5,1.0408107741923882,1,1,1.4767189175377926,0,0,0
0.75,1.0618365465453596,1,1,1.4767189175377926,0,0,0
1,1.0832870676749586,1,1,1.4767189175377926,0,0,0
1.25,1.1051709180756477,1,1,1.4767189175377926,0,0,0
1.5,1.1274968515793757,1,1,1.4767189175377926,0,0,0
1.75,1.1502737988572274,1,1.0476190476190477,1.5883475951799009,0,0,0
2,1.1735108709918103,1,1.0476190476190477,1.5883475951799009,0,0,0
2.25,1.1972173631218102,1,1.0476190476190477,1.5883475951799009,0,0,0
2.5,1.2214027581601699,1,1.0476190476190477,1.5883475951799009,0,0,0
2.75,1.2460767305873808,1,1.0476190476190477,1.5883475951799009,0,0,0
3,1.2712491503214047,1,1.0476190476190477,1.5883475951799009,0,0,0
3.25,1.2969300866657718,1,1.1000000000000001,1.7182328851805853,0,0,0
3.5,1.3231298123374369,1,1.1000000000000001,1.7182328851805853,0,0,0
3.75,1.3498588075760032,1,1.1578947368421053,1.8712523878361367,0,0,0
4,1.3771277643359572,1,1.1578947368421053,1.8712523878361367,0,0,0
4.25,1.4049475905635938,1,1.2222222222222223,2.0541910931440182,0,0,0.051405379438749343
4.5,1.4333294145603401,1,1.2222222222222223,2.0541910931440182,0,0,0.051405379438749343
4.75,1.4622845894342245,1,1.2941176470588236,2.276774765197187,0,0,0.21677650024234429
5,1.4918246976412703,1,1.2941176470588236,2.276774765197187,0,0,0.21677650024234429
5.25,1.5219615556186337,1,1.2941176470588236,2.276774765197187,0,0,0.21677650024234429
5.5,1.552707218511336,1,1.2941176470588236,2.276774765197187,0,0,0.21677650024234429
5.75,1.5840739849944818,1,1.2941176470588236,2.276774765197187,0,0,0.21677650024234429
6,1.6160744021928934,1,1.2941176470588236,2.276774765197187,0,0,0.21677650024234429
6.25,1.6487212707001282,1,1.2941176470588236,2.276774765197187,0,0,0.21677650024234429
6.5,1.6820276496988864,1,1.2941176470588236,2.276774765197187,0,0,0.21677650024234429
6.75,1.7160068621848585,1,1.2941176470588236,2.276774765197187,0,0,0.21677650024234429
7,1.7506725002961012,1,1.2941176470588236,2.276774765197187,0,0,0.21677650024234429
7.25,1.7860384307500734,1,1.2941176470588236,2.276774765197187,0,0,0.21677650024234429
