bin,younger_ma,older_ma,mid_age_ma,tThrough,divSIB,divBC,divRT
bin_1_6,1,6,3.5,,1492,,1492
bin_6_11,6,11,8.5,907,1339,1112,1362
bin_11_16,11,16,13.5,587,1687,1095,1692
bin_16_21,16,21,18.5,831,1211,1042,1224
bin_21_26,21,26,23.5,425,1313,992,1318
bin_26_31,26,31,28.5,325,986,750,995
bin_31_36,31,36,33.5,237,920,568,927
bin_36_41,36,41,38.5,307,953,585,957
bin_41_46,41,46,43.5,563,756,668,762
bin_46_51,46,51,48.5,195,996,657,996
bin_51_56,51,56,53.5,296,602,502,604
bin_56_61,56,61,58.5,44,577,398,577
bin_61_66,61,66,63.5,28,286,143,286
bin_66_71,66,71,68.5,0,211,109,211
