tau_ma_after_1Ma_trim,actual_age_ma,lambda_p_per_ma,fitted_dLTT,F_from_dLTT
0,1,0.21345825222370479,4790,1
5,6,0.16805839744962972,1845.4788576146318,2.5955323087208382
10,11,0.13620837120142759,862.49309630893231,5.5536676415138428
15,16,0.11050385552288772,465.46950193536765,10.290684953759035
20,21,0.088362743360854978,283.12261732530823,16.918464675311633
25,26,0.069308163851533322,190.89104352786356,25.092848315331377
30,31,0.054039354369178692,140.23702363085044,34.156457945148929
35,36,0.055413849176469132,106.66584544330036,44.906595734491113
40,41,0.034830604992763969,85.122370379053891,56.271929208149473
45,46,0.064066608871550801,66.476389402778835,72.055658302641945
50,51,0.044695256204494674,50.65014914716199,94.570303950790858
55,56,0.018435032049695255,43.255156630322624,110.73824193812133
60,61,0.06932686514250061,34.733745658162952,137.90623237532338
65,66,0.074832880221569073,24.223236255283517,197.74401527191546
70,71,0.077874078206953287,16.536084827848299,289.66953483046944
75,76,0.12365540874774172,9.9913651489276596,479.41396682054955
80,81,0.072610593970499612,6.1169048680104696,783.07577171098842
85,86,0,5.101475150724041,938.94410116261486
90,91,0.053169116844463897,4.466508249079415,1072.4260950345854
95,96,0.050200409052588539,3.4493407861002843,1388.6711395122611
100,101,0,3.0425078124871989,1574.3591455511353
105,106,0,3.0425078124871989,1574.3591455511353
110,111,0,3.0425078124871989,1574.3591455511353
